Player,Destination Club,Pos,Age,Transfer Fee (EUR),MP,Min,Gls,Ast,G_A,G_A_per90,xG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90
Ross BarkleyR. Barkley,Luton Town,MF,29.0,0.0,32.0,2618.0,5.0,4.0,9.0,0.3093964858670741,0.14094728800611153,0.12719633307868602,1.650114591291062,5.6035141329258975,1.3407181054239878
Teden MengiT. Mengi,Luton Town,DF,21.0,0.0,30.0,2469.0,1.0,0.0,1.0,0.03645200486026731,0.021871202916160386,0.010935601458080193,0.5467800729040098,1.968408262454435,0.03645200486026731
Andros TownsendA. Townsend,Luton Town,MF,32.0,0.0,27.0,1210.0,1.0,3.0,4.0,0.2975206611570248,0.08925619834710743,0.09669421487603307,3.4958677685950414,2.603305785123967,5.28099173553719
Josko GvardiolJ. Gvardiol,Manchester City,DF,21.0,9000000000.0,28.0,2328.0,4.0,1.0,5.0,0.19329896907216496,0.11984536082474227,0.05412371134020618,2.435567010309278,5.257731958762887,4.445876288659794
Matheus NunesM. Nunes,Manchester City,MF,24.0,6200000000.0,2.0,179.0,0.0,0.0,0.0,0.0,0.05027932960893855,0.05027932960893855,3.519553072625698,4.022346368715084,4.5251396648044695
Jérémy DokuJ. Doku,Manchester City,FW,21.0,6000000000.0,29.0,1595.0,3.0,8.0,11.0,0.6206896551724138,0.14106583072100315,0.25956112852664576,12.300940438871473,3.2163009404388716,16.64576802507837
Mateo KovacicM. Kovacic,Manchester City,MF,29.0,2910000000.0,30.0,1551.0,1.0,0.0,1.0,0.058027079303675046,0.07543520309477757,0.09284332688588008,2.1470019342359765,5.802707930367505,2.2050290135396517
Rasmus HøjlundR. Højlund,Manchester United,FW,20.0,7780000000.0,30.0,2158.0,10.0,2.0,12.0,0.5004633920296571,0.3169601482854495,0.06672845227062095,1.4596848934198332,1.376274328081557,4.629286376274328
Mason MountM. Mount,Manchester United,MF,24.0,6420000000.0,14.0,516.0,1.0,0.0,1.0,0.1744186046511628,0.06976744186046512,0.05232558139534883,1.569767441860465,3.6627906976744184,5.930232558139535
Jonny EvansJ. Evans,Manchester United,DF,35.0,0.0,23.0,1392.0,0.0,1.0,1.0,0.06465517241379311,0.00646551724137931,0.07758620689655173,0.4525862068965517,2.3922413793103448,0.06465517241379311
Sandro TonaliS. Tonali,Newcastle United,MF,23.0,5890000000.0,8.0,438.0,1.0,0.0,1.0,0.20547945205479454,0.14383561643835616,0.12328767123287672,2.26027397260274,3.9041095890410964,4.315068493150685
Harvey BarnesH. Barnes,Newcastle United,FW,25.0,4400000000.0,21.0,802.0,5.0,3.0,8.0,0.8977556109725685,0.40399002493765584,0.35910224438902744,5.049875311720698,3.815461346633416,8.865336658354114
Tino LivramentoT. Livramento,Newcastle United,DF,20.0,3720000000.0,26.0,1314.0,1.0,0.0,1.0,0.0684931506849315,0.027397260273972605,0.05479452054794521,3.0136986301369864,4.178082191780822,5.205479452054795
